Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0.39141418731870825,0.38027339950761985,0.3979648001889141,0.41256489743616914,0.43267115231619646,0.411886224458857,0.43116109825711946,0.4341814489636082,0.43968100790817305,0.42697553505995967,0.4210254845556693,0.3950479151558213,0.4017811240958696,0.4232274067964268,0.44275349543523773,0.43777066384144037,0.43662553006964167,0.4284874741525078,0.4367309190539916,0.4282242878487115,0.4339255541937374,0.440112600143252,0.445611603489841,0.43090409799896257,0.41431927639584704,0.4030244915283822,0.45337082449063,0.4302578360533934,0.4316070326951197,0.3945710507762653,0.37733477680457833,0.34802985820221594,0.34118433940891674,0.32930984852307477,0.33283212791975075,0.3434067526200659,0.3602725982995103,0.3724812966646229,0.3823533406281297,0.3410833239830549,0.3211938453234852,0.3804166062639395,0.38424917002181413,0.32957831922738196,0.3834340792809241,0.3592226610275412,0.3873489506076441,0.37580355144651534,0.4479797737702973,0.46307592130311975,0.4537204986614461,0.46756469380483845,0.45278862306563084,0.4537710316889136,0.43884192188577775,0.44592848526976747
Albania,0.6138916092098631,0.5827443309050249,0.5613304599738625,0.5893025014415892,0.6030059382412719,0.6197368127572572,0.6086844520013964,0.6659953296034169,0.7225866186828591,0.7637902136826424,0.7797656271759207,0.8224330769231563,0.7850733202668675,0.7853397646267214,0.787239868214666,0.84892381249464,0.8816542277905677,0.9007198952006115,0.9799574576088939,0.9583469323263554,0.8876378727663994,0.9027899882816642,0.9728636383403046,0.981991095554823,0.9565637749436722,0.9573917820751003,0.9610885495247965,0.9640575599749042,0.9638024869699615,0.8826126960599491,0.8410701854212144,0.8209854383037706,0.7093715236773961,0.6253313556303688,0.5943850322321901,0.6676241313655603,0.5694709729320458,0.640002896328494,0.7795443935571186,0.813061490633822,0.8185668155028307,0.9463858063352039,0.954657429277532,1.0011531767057646,1.069740619819088,1.1496935592146398,1.2403767189070902,1.228072144666001,1.275703845789711,1.2422996931913795,1.3830241514237716,1.3208162589992551,1.282428301238587,1.223503699851712,1.2648840422257561,1.2319713688880636
Algeria,0.2353014119823481,0.2663204836483014,0.2433265990383771,0.19704912332242025,0.21424681744580287,0.18263582575335124,0.22526354914749136,0.24732079599114282,0.22921481572178615,0.2442337492978565,0.30008957497143546,0.33263813028342143,0.2866311388631629,0.3753983536191891,0.4471031454088172,0.4281771353771531,0.46867397004965994,0.5385065222102099,0.5748258820361997,0.6171224263820074,0.6198299915091025,0.5657585458253204,0.6448231990727095,0.6415084790461709,0.7419415495254229,0.7194325861563119,0.6759524001137881,0.6932137288626842,0.7857851710956784,0.672162613946366,0.736342778901572,0.7342961368563484,0.7218923554427378,0.7308133197289324,0.7526220010969498,0.7425770742329613,0.6485439893734551,0.7304893050901561,0.7850172046365154,0.771219820316281,0.824178724845148,0.8856428051092511,0.9845867249811525,0.9971475140775304,1.0428962709876588,1.0718762444346,1.0878646602811428,1.1407768139131922,1.2805602556911195,1.245269066751047,1.3551775465375062,1.4330215727291087,1.4637113569401994,1.4929442623761473,1.565076635156643,1.4771068894901522
Angola,0.26230109479551134,0.2832893134337077,0.292216923127664,0.3295279360259411,0.3176617026873773,0.364793589258621,0.3479139470516068,0.34894393384283867,0.38669017050552873,0.44935656168042776,0.4361860751985351,0.47215535738813574,0.4162668121783207,0.42878853744026524,0.40018999160009255,0.3708723843141092,0.40929886299127277,0.41788182064695334,0.40536306856132404,0.4132329765911607,0.4086188875455781,0.3921556846369668,0.3681483524258457,0.3670324016152669,0.3722623513285077,0.36778886681717193,0.37628436107652585,0.385200328963265,0.3808303443914865,0.3649773476553076,0.3585997177437835,0.35088112404609667,0.3420179914049618,0.3489322076296738,0.33110741606487526,0.33626813164709923,0.34052871460438255,0.35742053285335806,0.3537153717627946,0.3776372617343474,0.3831009517647236,0.40913240851347654,0.4197416907933388,0.4165238190058147,0.4136372050869965,0.41815702108816155,0.44691724518647286,0.5495455707600319,0.6657317642632311,0.5494804089113958,0.5921269470332214,0.6331538487923882,0.8102122479222398,1.0711307104506438,0.7051509949379787,0.6225155829237453
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,0.7957703998997179,0.7569405285839608,1.1778980196316493,0.8049564769266762,1.0703750488681094,1.3197168180452594,1.4198768684743543,1.5903369558838174,1.7401183815733245,1.8121988264013795,1.8147341350958053,1.901937067104638,1.961617716577633,1.9866922713230593,2.0039051974448228,2.0363461999734116,2.0844040755226696,2.2063958629309433,2.2802604459335734,2.296843798711207,2.08401819157226,2.028573919759305,2.1776598407758168,2.4000101174688253,2.3037522850861167,2.532277079945012,2.477400323622919,2.7803069343671076,2.6587414314832603,2.5789717014887925,2.9370694501965633,2.4558888377367625,2.5810451578045304,2.3518807346377235,2.4262556718230135,2.6678238925054965,2.657499132451473
Argentina,1.212148300370869,1.0205483024848163,0.9884850942350423,1.1479703902194258,1.131187593294518,1.1452114277166463,1.2946690852644345,1.2840378490030213,1.2417021387243812,1.3036485347679643,1.5007216349966965,1.5570682579302866,1.6630397859186803,1.8395378502801147,1.8734169810525367,1.7636772913601546,1.60656004383622,1.568985793690177,1.6369325561162362,1.6968418807366583,1.5771173252491508,1.6647209192011858,1.5643956876153147,1.6574261301339643,1.4750575713306393,1.5999560790255607,1.6710791596386996,1.6851345676526495,1.6333946183094687,1.4857318277195142,1.597616332571006,1.7404499606585682,1.7501556503640134,1.71901206514184,1.682264357710977,1.8409886189312077,1.7719984153104285,1.7682269291607453,1.6788871152157114,1.6854398545651779,1.6659303178341662,1.6528413359695904,1.73352421214255,1.762594232441204,1.6882752929483251,1.790403516248935,1.88909259929585,2.064233114020698,1.6782710476871256,1.9115567308780244,1.9699367528932268,1.972719017277389,2.1541426297438906,2.2524180973227805,2.2342328680406163,2.064762822646708
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855403205824366,0.5823273426183688,0.5632727829018105,0.5298897627989838,0.5336772856348265,0.5747438554962209,0.6010610574036869,0.6057024826788822,0.6127975273236607,0.6609389140940742,0.6743329588838496,0.7030724815405855,0.792766788432984,0.8894548023010648,0.9075771870092681,1.084394778361842,1.2741536549642296,1.142642673565448,1.110938048243658,1.24068416406037,1.3123395549438883,1.229110275740156,1.2371015827524015,1.21214585742832,1.1872367759824043
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,1.7620969517492626,2.441164241104541,3.423055636861584,3.7090346072885776,6.260403232595015,6.357433316497058,5.4902800399782015,5.7795372224124035,5.726245636776221,5.79749001562444,5.615739923894196,5.721651090098329,5.9062661992453,7.274540703213896,7.4312342978828925,7.8112528838001545,7.889845542647441,8.042611958897302,7.996726348821658,7.982900717159456,8.402409097182236,8.994836256849025,8.57626671409907,7.406419846813388,7.216677757450696,7.233630923673541,4.89181411859658,3.788824413783391,4.284502507755577,3.8992672800199837,3.998302000924084
Australia,2.4016468190052045,2.4014124239982158,2.616435286050688,2.616290137481482,2.639331716453384,2.91547648096986,2.651466953203683,3.139741327688072,3.1053102488702624,2.994303808815619,3.085719965317045,2.907423517804032,3.288774699342271,3.943602713663131,4.100313026673209,3.7564504146169817,3.4489800116869374,3.7368299420376325,3.6542718140853125,3.404447882269237,3.712290818969863,3.3404859116097887,3.766764472853385,3.6516719596897884,3.4113966809670937,3.2613842699829454,3.0689696268351754,3.4481558249657365,3.8742971215375603,3.884935369770041,3.726561821343607,3.6477237484990823,3.7662427364147,3.3339884780884566,4.146647485230443,4.097846603973237,3.778145803004605,4.32562754445282,4.267988748832949,4.3329169995802586,4.315299066249277,4.6524299925024675,4.647991715066118,4.9807536960920515,5.096678128176739,5.231970140689973,4.9681207300996775,5.1345040158745725,4.912550805050525,4.890450416721626,5.201727958984199,4.8069493579072,4.416608935769826,4.051900771165091,3.889305129088291,4.074411850057376
Austria,1.1511471289254303,1.195336024641275,1.253228627315122,1.3272648250854793,1.3190062732171655,1.3863469018941117,1.396689563180701,1.446503507925368,1.5430968070890507,1.7018100821989206,1.8184732212778003,1.9118489554542666,2.0746825803475177,2.0128161963909497,1.8790236535713374,2.099747535852508,2.1136208125921985,2.1147829189195635,2.2213985045792843,2.3616847685473634,2.153817231832147,2.1846562459802183,2.1315121299731166,2.2071284487160767,2.3034818775641335,2.242398522297748,2.2917865396239674,2.3760795275706235,2.437198192471308,2.585965917989206,2.806673232323124,2.481536494724657,2.517664455250593,2.644604922494968,2.8284310222393776,3.111644970424328,3.00921461555125,2.9567655815732743,2.9916444357320744,3.056439966153069,3.1952339135523835,3.1431678517535544,3.36970065975872,3.4529804321231694,3.564685730254948,3.7559406497808605,3.759375398415931,3.76621637365371,3.4617568080556125,3.7048516414781107,3.8690195122057878,3.637808058351976,3.6638715755855573,3.614664284290986,3.626685144878659,3.7004567022304573
